Gene name	Gene stable ID
MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TI	ENSG00000210100
MT-TQ	ENSG00000210107
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TW	ENSG00000210117
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-TD	ENSG00000210154
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-TH	ENSG00000210176
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-TE	ENSG00000210194
MT-CYB	ENSG00000198727
MT-TT	ENSG00000210195
MT-TP	ENSG00000210196
5S_rRNA	ENSG00000278457
U6	ENSG00000278625
5_8S_rRNA	ENSG00000278294
RNA5-8SN5	ENSG00000274917
5_8S_rRNA	ENSG00000273730
U6	ENSG00000278793
U2	ENSG00000274202
U1	ENSG00000275987
U1	ENSG00000275405
U2	ENSG00000276711
RNA5-8SN4	ENSG00000276700
5_8S_rRNA	ENSG00000275757
U1	ENSG00000277374
Y_RNA	ENSG00000276932
MAFIP	ENSG00000274847
RPL23AP45	ENSG00000291360
Y_RNA	ENSG00000277428
LINC01784	ENSG00000282162
PRAMEF11	ENSG00000281934
PRAMEF30P	ENSG00000282116
HNRNPCL1	ENSG00000282175
PRAMEF2	ENSG00000282817
PRAMEF4	ENSG00000282584
PRAMEF10	ENSG00000282663
PRAMEF7	ENSG00000279195
RNU6-1072P	ENSG00000282338
PRAMEF29P	ENSG00000282549
PRAMEF6	ENSG00000282119
PRAMEF28P	ENSG00000282791
PRAMEF27	ENSG00000282437
HNRNPCL3	ENSG00000282559
PRAMEF25	ENSG00000282566
PRAMEF34P	ENSG00000282258
PRAMEF35P	ENSG00000282562
HNRNPCL2	ENSG00000282530
PRAMEF26	ENSG00000281987
HNRNPCL4	ENSG00000282095
PRAMEF9	ENSG00000282298
PRAMEF13	ENSG00000282741
PRAMEF18	ENSG00000282212
PRAMEF31P	ENSG00000282289
PRAMEF5	ENSG00000282424
PRAMEF32P	ENSG00000282216
RNU6-771P	ENSG00000282288
PRAMEF8	ENSG00000282583
PRAMEF33	ENSG00000282125
PRAMEF36P	ENSG00000282468
OR9G4	ENSG00000262647
OR5G3	ENSG00000281107
OR9G3P	ENSG00000262268
OR5G1P	ENSG00000281313
OR5G4P	ENSG00000281279
OR9G2P	ENSG00000281777
OR9G1	ENSG00000261958
OR9G9	ENSG00000262191
LINC02735	ENSG00000281839
OR5G5P	ENSG00000262535
GRK1	ENSG00000288263
LINC00552	ENSG00000288305
TOLLIP	ENSG00000291426
TOLLIP-DT	ENSG00000291427
LINC02689	ENSG00000291430
BRSK2	ENSG00000291428
DUSP8	ENSG00000291431
KRTAP5-AS1	ENSG00000291432
KRTAP5-1	ENSG00000291433
KRTAP5-2	ENSG00000291434
KRTAP5-3	ENSG00000291435
KRTAP5-4	ENSG00000291440
KRTAP5-5	ENSG00000291443
FAM99A	ENSG00000291437
FAM99B	ENSG00000291438
LINC02708	ENSG00000291439
MOB2	ENSG00000291442
TSPY24P	ENSG00000215601
ZNF92P1Y	ENSG00000215603
RBMY3AP	ENSG00000231436
SERBP1P2	ENSG00000225878
TSPY12P	ENSG00000236435
DUX4L19	ENSG00000258991
TTTY12	ENSG00000237048
TTTY7B	ENSG00000147761
OFD1P3Y	ENSG00000231988
RBMY2HP	ENSG00000238073
TTTY6	ENSG00000131538
ELOCP35	ENSG00000271595
SLC9B1P1	ENSG00000183704
USP12PY	ENSG00000232927
TTTY23	ENSG00000239225
KDM5DP1	ENSG00000277438
TTTY7	ENSG00000147753
LINC00279	ENSG00000286217
DUX4L17	ENSG00000259154
PRY	ENSG00000169789
TSPY18P	ENSG00000231874
PCMTD1P1	ENSG00000226061
HSFY7P	ENSG00000228571
ZNF736P6Y	ENSG00000224634
TUSC2P1	ENSG00000285470
RBMY2AP	ENSG00000226092
TTTY2B	ENSG00000212856
TTTY21	ENSG00000228890
PUDPP1	ENSG00000234620
RBMY3AP	ENSG00000291444
CDY3P	ENSG00000291445
TSPY25P	ENSG00000291446
CDRT15P10	ENSG00000273693
USP9YP22	ENSG00000291447
TSPY16P	ENSG00000291448
USP9YP4	ENSG00000291449
USP9Y	ENSG00000114374
ELOCP4	ENSG00000291450
RBMY1A3P	ENSG00000291451
TTTY20	ENSG00000291453
FAM197Y8	ENSG00000291454
TSPY8	ENSG00000291455
FAM197Y7	ENSG00000291456
TSPY4	ENSG00000291458
TSPY9	ENSG00000291459
FAM197Y2	ENSG00000291460
FAM197Y4	ENSG00000291461
FAM197Y4	ENSG00000291462
PRY2	ENSG00000169807
TSPY25P	ENSG00000234110
OFD1P8Y	ENSG00000231159
RNF19BPY	ENSG00000225653
TSPY23P	ENSG00000229159
TUBB1P2	ENSG00000228578
DUX4L31	ENSG00000231411
TSPY13P	ENSG00000187657
ACTR3BP1	ENSG00000270242
RPS24P1	ENSG00000236477
TTTY1B	ENSG00000129816
RCC2P2	ENSG00000237997
ZNF736P8Y	ENSG00000244246
RBMY2OP	ENSG00000234950
EIF1AY	ENSG00000198692
TSPY19P	ENSG00000234583
BPY2	ENSG00000183753
MTND1P12	ENSG00000225433
STSP1	ENSG00000227166
ELOCP5	ENSG00000285019
CDY10P	ENSG00000285196
CTBP2P1	ENSG00000235857
USP9YP3	ENSG00000285308
MTND6P1	ENSG00000223955
USP9YP8	ENSG00000285028
DLGAP5P1	ENSG00000237195
CDY11P	ENSG00000285455
CDC27P2	ENSG00000237447
OFD1P16Y	ENSG00000285477
TTTY8B	ENSG00000185700
PABPC1P5	ENSG00000270455
TSPY22P	ENSG00000229940
RCC2P1	ENSG00000234385
SHROOM2P1	ENSG00000226863
TTTY2	ENSG00000212855
TTTY18	ENSG00000233699
DUX4L18	ENSG00000259029
TSPY16P	ENSG00000226223
RBMY2GP	ENSG00000223744
ZNF736P11Y	ENSG00000215537
OFD1P9Y	ENSG00000230476
BPY2DP	ENSG00000229745
RBMY2JP	ENSG00000227204
CHEK2P1	ENSG00000275828
RBMY2UP	ENSG00000225615
FAM224B	ENSG00000230663
ZNF886P	ENSG00000232522
ELOCP8	ENSG00000234131
OFD1P16Y	ENSG00000277519
TTTY25P	ENSG00000259247
FAM197Y1	ENSG00000224336
ASS1P6	ENSG00000215583
SNX18P1Y	ENSG00000274162
RBMY2NP	ENSG00000229208
TTTY1	ENSG00000129845
MED14P1	ENSG00000233774
HSFY5P	ENSG00000232475
ZNF885P	ENSG00000228764
ARSFP1	ENSG00000232226
ZNF736P7Y	ENSG00000241200
SURF6P1	ENSG00000228518
XGY1	ENSG00000227447
ANKRD20A6P	ENSG00000274502
TTTY8	ENSG00000183385
RBMY2KP	ENSG00000225809
TSPY21P	ENSG00000237902
TTTY19	ENSG00000232419
TSPY17P	ENSG00000232620
TTTY4	ENSG00000226906
TSPY15P	ENSG00000236786
TTTY22	ENSG00000224075
TSPY11P	ENSG00000238235
MXRA5Y	ENSG00000235649
DUX4L16	ENSG00000258567
TSPY10	ENSG00000236424
MTCYBP1	ENSG00000234179
USP9YP17	ENSG00000229553
TTTY17A	ENSG00000228240
AGPAT5P1	ENSG00000234652
TSPY20P	ENSG00000243643
FAM41AY1	ENSG00000224989
TTTY6B	ENSG00000131548
